date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202104,female,fully_vaccinated,0,0,8722,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,female,partially_vaccinated,4,4,155824,2.57,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,female,not_vaccinated,21,21,4222842,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,female,unknown,58,58,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,male,fully_vaccinated,0,0,6500,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,male,partially_vaccinated,4,4,118770,3.37,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,male,not_vaccinated,28,28,4196697,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,male,unknown,54,54,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,unknown,partially_vaccinated,0,0,31,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202104,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,female,fully_vaccinated,0,0,27922,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,female,partially_vaccinated,8,12,174062,4.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,female,not_vaccinated,28,49,4185404,0.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,female,unknown,51,109,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,male,fully_vaccinated,0,0,18478,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,male,partially_vaccinated,4,8,137262,2.91,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,male,not_vaccinated,29,57,4166227,0.7,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,male,unknown,46,100,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,unknown,fully_vaccinated,0,0,0,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,unknown,partially_vaccinated,0,0,38,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202105,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,female,fully_vaccinated,1,1,60192,1.66,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,female,partially_vaccinated,5,17,186942,2.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,female,not_vaccinated,22,71,4140254,0.53,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,female,unknown,26,135,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,male,fully_vaccinated,0,0,41665,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,male,partially_vaccinated,5,13,145959,3.43,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,male,not_vaccinated,33,90,4134343,0.8,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,male,unknown,37,137,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,unknown,fully_vaccinated,0,0,5,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,unknown,partially_vaccinated,0,0,51,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202106,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,female,fully_vaccinated,0,1,99216,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,female,partially_vaccinated,4,21,181302,2.21,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,female,not_vaccinated,13,84,4106870,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,female,unknown,28,163,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,male,fully_vaccinated,0,0,74314,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,male,partially_vaccinated,0,13,137911,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,male,not_vaccinated,22,112,4109742,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,male,unknown,19,156,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,unknown,fully_vaccinated,0,0,12,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,unknown,partially_vaccinated,0,0,56,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202107,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,female,fully_vaccinated,2,3,148579,1.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,female,partially_vaccinated,3,24,159344,1.88,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,female,not_vaccinated,7,91,4079465,0.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,female,unknown,15,178,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,male,fully_vaccinated,1,1,114176,0.88,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,male,partially_vaccinated,5,18,118471,4.22,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,male,not_vaccinated,12,124,4089320,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,male,unknown,18,174,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,unknown,fully_vaccinated,0,0,25,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,unknown,partially_vaccinated,0,0,46,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202108,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,female,fully_vaccinated,0,3,191668,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,female,partially_vaccinated,2,26,157028,1.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,female,not_vaccinated,14,105,4038692,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,female,unknown,14,192,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,male,fully_vaccinated,0,1,147116,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,male,partially_vaccinated,1,19,118595,0.84,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,male,not_vaccinated,11,135,4056256,0.27,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,male,unknown,22,196,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,unknown,fully_vaccinated,0,0,36,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,unknown,partially_vaccinated,0,0,40,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202109,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,female,fully_vaccinated,2,5,226904,0.88,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,female,partially_vaccinated,1,27,171704,0.58,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,female,not_vaccinated,14,119,3988780,0.35,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,female,unknown,13,205,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,male,fully_vaccinated,1,2,173382,0.58,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,male,partially_vaccinated,2,21,131383,1.52,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,male,not_vaccinated,24,159,4017202,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,male,unknown,18,214,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,unknown,fully_vaccinated,0,0,45,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,unknown,partially_vaccinated,0,0,38,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202110,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,female,fully_vaccinated,0,5,270102,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,female,partially_vaccinated,3,30,170400,1.76,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,female,not_vaccinated,9,128,3946886,0.23,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,female,unknown,15,220,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,male,fully_vaccinated,1,3,202924,0.49,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,male,partially_vaccinated,3,24,137009,2.19,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,male,not_vaccinated,13,172,3982034,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,male,unknown,18,232,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,fully_vaccinated,0,0,64,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,partially_vaccinated,0,0,67,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202111,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,fully_vaccinated,1,6,308639,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,partially_vaccinated,0,30,192462,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,not_vaccinated,14,142,3886287,0.36,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,female,unknown,10,230,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,fully_vaccinated,1,4,232850,0.43,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,partially_vaccinated,4,28,158766,2.52,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,not_vaccinated,16,188,3930351,0.41,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,male,unknown,14,246,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,fully_vaccinated,0,0,69,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,partially_vaccinated,0,0,75,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202112,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,fully_vaccinated,0,6,344848,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,partially_vaccinated,1,31,215293,0.46,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,not_vaccinated,20,162,3827247,0.52,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,female,unknown,12,242,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,fully_vaccinated,1,5,262224,0.38,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,partially_vaccinated,3,31,178611,1.68,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,not_vaccinated,21,209,3881132,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,male,unknown,13,259,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,fully_vaccinated,0,0,74,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202113,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,fully_vaccinated,2,8,393121,0.51,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,partially_vaccinated,1,32,232552,0.43,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,not_vaccinated,11,173,3761715,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,female,unknown,8,250,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,fully_vaccinated,0,5,300705,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,partially_vaccinated,2,33,197339,1.01,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,not_vaccinated,23,232,3823923,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,male,unknown,16,275,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,unknown,fully_vaccinated,0,0,81,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,unknown,partially_vaccinated,0,0,104,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202114,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,female,fully_vaccinated,2,10,439180,0.46,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,female,partially_vaccinated,1,33,298546,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,female,not_vaccinated,6,179,3649662,0.16,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,female,unknown,10,260,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,male,fully_vaccinated,1,6,339159,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,male,partially_vaccinated,2,35,256891,0.78,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,male,not_vaccinated,15,247,3725917,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,male,unknown,9,284,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,unknown,fully_vaccinated,0,0,126,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,unknown,partially_vaccinated,0,0,101,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202115,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,female,fully_vaccinated,2,12,498158,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,female,partially_vaccinated,0,33,375418,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,female,not_vaccinated,12,191,3513812,0.34,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,female,unknown,6,266,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,male,fully_vaccinated,3,9,389775,0.77,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,male,partially_vaccinated,0,35,327463,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,male,not_vaccinated,18,265,3604729,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,male,unknown,13,297,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,unknown,fully_vaccinated,0,0,140,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,unknown,partially_vaccinated,0,0,141,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202116,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,female,fully_vaccinated,1,13,556375,0.18,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,female,partially_vaccinated,0,33,465624,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,female,not_vaccinated,15,206,3365389,0.45,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,female,unknown,11,277,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,male,fully_vaccinated,3,12,438645,0.68,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,male,partially_vaccinated,3,38,412723,0.73,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,male,not_vaccinated,23,288,3470599,0.66,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,male,unknown,13,310,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,unknown,fully_vaccinated,0,0,153,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,unknown,partially_vaccinated,0,0,192,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202117,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,female,fully_vaccinated,1,14,628832,0.16,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,female,partially_vaccinated,0,33,561566,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,female,not_vaccinated,8,214,3196990,0.25,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,female,unknown,10,287,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,male,fully_vaccinated,2,14,501483,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,male,partially_vaccinated,0,38,502254,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,male,not_vaccinated,13,301,3318230,0.39,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,male,unknown,7,317,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,unknown,fully_vaccinated,0,0,181,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
202118,unknown,partially_vaccinated,0,0,258,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-12-03_07-52-50,TRUE
